0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 3
9, 0
10, 1
11, 0
12, 0
13, 1
14, 1
15, 1
16, 0
17, 0
18, 1
19, 2
20, 0
21, 2
22, 3
23, 2
24, 0
25, 2
26, 3
27, 1
28, 1
29, 1
30, 4
31, 0
32, 5
33, 8
34, 3
35, 2
36, 1
37, 2
38, 5
39, 5
40, 8
41, 7
42, 8
43, 9
44, 3
45, 0
46, 6
47, 5
48, 4
49, 7
50, 3
51, 2
52, 7
53, 2
54, 6
55, 5
56, 6
57, 1
58, 5
59, 5
60, 6
61, 6
62, 7
63, 4
64, 6
65, 4
66, 3
67, 4
68, 3
69, 5
70, 8
71, 5
72, 5
73, 6
74, 10
75, 8
76, 3
77, 2
78, 6
79, 1
80, 4
81, 3
82, 6
83, 1
84, 2
85, 5
86, 3
87, 7
88, 5
89, 9
90, 4
91, 11
92, 6
93, 14
94, 5
95, 18
96, 8
97, 7
98, 14
99, 15
100, 10
101, 18
102, 26
103, 14
104, 13
105, 14
106, 19
107, 19
108, 21
109, 27
110, 33
111, 41
112, 53
113, 44
114, 44
115, 61
116, 73
117, 75
118, 71
119, 97
120, 112
121, 117
122, 139
123, 169
124, 163
125, 223
126, 241
127, 282
128, 271
129, 401
130, 389
131, 462
132, 512
133, 623
134, 723
135, 872
136, 910
137, 1091
138, 1245
139, 1314
140, 1638
141, 1842
142, 2169
143, 2548
144, 2747
145, 3273
146, 3630
147, 4220
148, 4703
149, 5472
150, 6204
151, 7280
152, 8343
153, 9310
154, 10752
155, 12203
156, 13744
157, 15951
158, 18467
159, 20554
160, 23796
161, 26883
162, 30320
163, 34307
164, 38706
165, 44431
166, 50198
167, 56895
168, 64722
169, 72497
170, 81117
171, 91781
172, 102235
173, 115461
174, 128905
175, 143415
176, 157587
177, 175949
178, 194636
179, 215204
180, 236520
181, 259904
182, 284233
183, 309729
184, 336563
185, 364213
186, 390599
187, 417585
188, 446110
189, 473694
190, 499491
191, 524741
192, 548434
193, 569960
194, 583956
195, 594388
196, 601996
197, 606210
198, 599864
199, 585676
200, 570056
201, 546824
202, 516739
203, 483318
204, 445445
205, 404154
206, 360708
207, 315103
208, 272196
209, 230912
210, 192920
211, 156885
212, 126049
213, 100280
214, 77877
215, 59654
216, 45911
217, 34481
218, 26324
219, 20258
220, 15580
221, 12633
222, 9720
223, 7963
224, 6569
225, 5434
226, 4569
227, 3835
228, 3374
229, 2863
230, 2424
231, 2204
232, 1807
233, 1531
234, 1341
235, 1139
236, 1039
237, 812
238, 729
239, 641
240, 597
241, 506
242, 467
243, 397
244, 334
245, 268
246, 231
247, 163
248, 117
249, 85
250, 47
251, 35
252, 0
253, 0
254, 0
255, 1518
